GX,GY,GZ,AX,AY,AZ
-0.142031,0.008615,-0.164185,0.063923,-0.023515,0.998375
-0.142031,0.008615,-0.164185,0.064655,-0.023271,0.998131
-0.142031,0.008615,-0.164185,0.063923,-0.023515,0.996911
-0.142031,0.008615,-0.164185,0.063679,-0.023515,0.996178
-0.142031,-0.022154,-0.164185,0.063435,-0.024003,0.996178
-0.111262,-0.022154,-0.194954,0.063191,-0.024247,0.996666
-0.111262,-0.052923,-0.164185,0.063923,-0.024736,0.996911
-0.111262,-0.052923,-0.164185,0.063435,-0.025224,0.997399
-0.111262,-0.052923,-0.164185,0.062946,-0.02498,0.997887
-0.111262,-0.022154,-0.164185,0.063191,-0.02498,0.997643
-0.080492,-0.022154,-0.164185,0.063679,-0.02498,0.997643
-0.080492,-0.022154,-0.194954,0.063923,-0.02498,0.998131
-0.080492,-0.052923,-0.194954,0.064167,-0.025224,0.999108
-0.049723,-0.052923,-0.194954,0.063679,-0.025468,0.999596
-0.049723,-0.022154,-0.194954,0.062702,-0.025224,0.99984
-0.049723,-0.052923,-0.194954,0.062702,-0.024736,0.999352
-0.049723,-0.052923,-0.225723,0.062214,-0.02498,0.999352
-0.049723,-0.052923,-0.225723,0.062214,-0.024736,0.998864
-0.080492,-0.052923,-0.225723,0.062458,-0.024491,0.999352
-0.080492,-0.052923,-0.194954,0.063191,-0.024247,1.000573
-0.080492,-0.022154,-0.194954,0.063679,-0.023759,1.001061
-0.111262,-0.022154,-0.194954,0.064167,-0.023759,1.000817
-0.111262,-0.022154,-0.164185,0.063679,-0.023759,1.000817
-0.142031,-0.052923,-0.164185,0.063679,-0.024003,1.000817
-0.142031,-0.052923,-0.164185,0.064411,-0.023759,1.000573
-0.111262,-0.052923,-0.194954,0.064411,-0.023759,1.000084
-0.111262,-0.052923,-0.164185,0.064167,-0.023759,0.99984
-0.142031,-0.052923,-0.164185,0.064655,-0.024003,0.99984
-0.1728,-0.052923,-0.194954,0.065144,-0.024491,0.999352
-0.1728,-0.052923,-0.194954,0.0649,-0.024491,0.998864
-0.1728,-0.052923,-0.194954,0.064411,-0.024491,0.999108
-0.142031,-0.022154,-0.194954,0.063923,-0.024736,0.998864
-0.142031,-0.022154,-0.194954,0.063191,-0.025468,0.998864
-0.142031,0.008615,-0.194954,0.062214,-0.025224,0.998131
-0.142031,0.008615,-0.194954,0.06197,-0.024736,0.999108
-0.142031,0.008615,-0.194954,0.062458,-0.02498,0.999108
-0.111262,0.039385,-0.194954,0.062702,-0.024736,1.000084
-0.111262,0.008615,-0.194954,0.063191,-0.024736,1.000573
-0.080492,0.008615,-0.194954,0.063679,-0.02498,1.000817
-0.111262,0.039385,-0.194954,0.063679,-0.02498,1.000573
-0.080492,0.039385,-0.194954,0.063435,-0.024736,1.000329
-0.111262,0.008615,-0.164185,0.063435,-0.025224,1.000084
-0.111262,0.008615,-0.164185,0.063191,-0.025224,0.999596
-0.111262,0.008615,-0.164185,0.062702,-0.024736,0.998864
-0.080492,-0.022154,-0.164185,0.063191,-0.02498,0.998864
-0.111262,-0.022154,-0.164185,0.063191,-0.024736,0.999352
-0.111262,-0.052923,-0.164185,0.062946,-0.024491,0.999596
-0.111262,-0.052923,-0.194954,0.062702,-0.024003,0.99984
-0.111262,-0.052923,-0.164185,0.062458,-0.024247,0.99984
-0.111262,-0.083692,-0.164185,0.061726,-0.024736,0.99984
-0.080492,-0.052923,-0.164185,0.061726,-0.024491,0.998375
-0.080492,-0.052923,-0.194954,0.062214,-0.024736,0.997643
-0.080492,-0.052923,-0.164185,0.062458,-0.024491,0.997155
-0.080492,-0.052923,-0.164185,0.062702,-0.024247,0.997155
-0.049723,-0.052923,-0.164185,0.062702,-0.024491,0.997399
-0.049723,-0.022154,-0.164185,0.062458,-0.024736,0.997399
-0.080492,-0.022154,-0.164185,0.062702,-0.024491,0.997887
-0.080492,-0.022154,-0.164185,0.062702,-0.024736,0.99862
-0.111262,-0.022154,-0.133415,0.062702,-0.02498,0.998864
-0.080492,-0.022154,-0.164185,0.062458,-0.025224,0.999596
-0.080492,-0.022154,-0.164185,0.062946,-0.025468,1.000573
-0.111262,-0.022154,-0.164185,0.063435,-0.025468,1.000329
-0.080492,-0.052923,-0.164185,0.063191,-0.025468,1.000573
-0.049723,-0.052923,-0.164185,0.063191,-0.025224,1.000817
-0.018954,-0.052923,-0.164185,0.062702,-0.025468,1.000817
-0.049723,-0.052923,-0.164185,0.062702,-0.02498,0.99984
-0.049723,-0.022154,-0.164185,0.062946,-0.024247,0.999108
-0.049723,-0.022154,-0.164185,0.062946,-0.024247,0.998375
-0.049723,-0.022154,-0.194954,0.063679,-0.024247,0.997643
-0.080492,-0.022154,-0.194954,0.063679,-0.024736,0.997643
-0.080492,-0.022154,-0.194954,0.063435,-0.02498,0.997399
-0.111262,0.008615,-0.194954,0.063679,-0.02498,0.997399
-0.111262,0.008615,-0.194954,0.063679,-0.024736,0.997399
-0.111262,0.008615,-0.194954,0.063679,-0.02498,0.997887
-0.111262,-0.022154,-0.194954,0.063923,-0.02498,0.99862
-0.142031,-0.022154,-0.194954,0.064411,-0.025468,0.99862
-0.142031,0.008615,-0.164185,0.064411,-0.025956,0.99862
-0.111262,0.008615,-0.194954,0.064655,-0.025956,0.99862
-0.111262,0.008615,-0.194954,0.064167,-0.025712,0.998131
-0.142031,0.008615,-0.194954,0.064167,-0.025224,0.99862
-0.142031,0.008615,-0.194954,0.063923,-0.025468,0.998375
-0.1728,0.008615,-0.194954,0.063679,-0.025956,0.998131
-0.1728,0.008615,-0.194954,0.064167,-0.025712,0.998131
-0.1728,0.008615,-0.194954,0.063923,-0.025712,0.998864
-0.1728,-0.022154,-0.194954,0.063923,-0.025468,0.998864
-0.1728,-0.022154,-0.194954,0.063923,-0.025468,0.998864
-0.142031,-0.022154,-0.194954,0.063679,-0.025712,0.999108
-0.142031,-0.022154,-0.164185,0.063679,-0.025224,0.999596
-0.111262,-0.022154,-0.164185,0.063435,-0.02498,0.99984
-0.111262,-0.022154,-0.164185,0.063679,-0.024736,1.000329
-0.111262,-0.022154,-0.194954,0.063679,-0.024736,1.000573
-0.142031,-0.022154,-0.194954,0.063923,-0.024491,1.000573
-0.142031,-0.052923,-0.164185,0.064167,-0.02498,1.000329
-0.142031,-0.022154,-0.164185,0.064167,-0.025224,1.000329
-0.111262,-0.022154,-0.194954,0.064167,-0.024736,1.000329
-0.111262,-0.052923,-0.194954,0.063679,-0.024736,0.99984
-0.080492,-0.052923,-0.194954,0.063435,-0.024736,1.000084
-0.111262,-0.083692,-0.194954,0.062946,-0.024736,1.000329
-0.111262,-0.052923,-0.194954,0.063435,-0.024736,0.999596
-0.111262,-0.052923,-0.194954,0.064167,-0.024491,0.99862
-0.111262,-0.052923,-0.194954,0.064411,-0.024736,0.998864
-0.142031,-0.052923,-0.194954,0.063923,-0.024736,0.99862
-0.111262,-0.022154,-0.194954,0.063923,-0.024736,0.99862
-0.111262,-0.022154,-0.194954,0.063679,-0.024491,0.998131
-0.111262,-0.022154,-0.194954,0.063679,-0.024491,0.997887
-0.111262,-0.022154,-0.194954,0.063679,-0.024247,0.997887
-0.142031,-0.052923,-0.194954,0.063923,-0.024247,0.997643
-0.111262,-0.052923,-0.194954,0.063679,-0.024491,0.997643
-0.080492,-0.052923,-0.194954,0.063435,-0.025224,0.996911
-0.080492,-0.052923,-0.194954,0.063435,-0.025224,0.996666
