GX,GY,GZ,AX,AY,AZ
1.242585,0.070154,-0.594954,0.072712,-0.002519,0.98275
-2.080492,-0.699077,-0.010338,0.079792,-0.013993,0.998864
2.565661,1.639385,-0.379569,0.097126,-0.01082,0.996178
-1.311262,-0.576,-0.594954,0.071003,-0.006425,0.964684
-2.757415,-0.822154,0.420431,0.04903,-0.024003,0.986657
3.457969,0.777846,-0.687262,0.073689,-0.011308,1.00277
-0.757415,0.285538,-0.164185,0.056599,-0.011796,0.98861
-4.357415,-1.899077,0.112738,0.065388,0.007003,1.014733
1.273354,0.254769,0.020431,0.090779,-0.010331,1.002038
4.596431,2.347077,-1.210338,0.075886,-0.0179,0.998131
-2.049723,-1.068308,-0.256492,0.055378,1.67E-4,1.003258
0.319508,0.870154,0.112738,0.094196,-0.004228,0.986901
2.504123,0.162462,-0.656492,0.070515,-0.00789,0.992272
-2.480492,-0.206769,-0.010338,0.058552,0.011886,0.997887
-0.449723,-1.714462,-0.379569,0.096394,-0.020585,0.990319
2.473354,1.516308,-0.594954,0.06905,-0.016191,0.988366
-0.695877,-0.114462,0.235815,0.080769,-0.014726,0.991051
1.673354,-1.037538,-0.933415,0.071003,-0.013261,0.977135
-0.5728,1.147077,0.881969,0.074909,-0.014482,0.997643
-0.5728,-1.099077,-1.179569,0.069538,0.007735,1.002282
0.257969,0.900923,0.266585,0.074177,0.017257,1.014245
-0.818954,-0.699077,-0.225723,0.090046,-0.018632,1.014977
1.088738,-0.391385,-0.687262,0.056599,-0.013505,1.004235
0.073354,1.239385,-0.133415,0.065632,-8.1E-4,0.994713
-1.311262,-0.576,-0.3488,0.084431,-0.018388,1.000573
0.165662,-0.022154,-0.533415,0.068318,0.005294,1.001061
0.011815,0.962462,0.4512,0.092732,-0.012284,0.973961
0.2272,-1.283692,-0.718031,0.079792,-0.023027,0.980797
0.042585,1.054769,-0.3488,0.059284,-0.024491,1.002038
1.088738,1.147077,-0.502646,0.08614,-0.016191,0.969079
-0.449723,-1.622154,0.020431,0.048542,-0.009843,1.003014
-0.265108,0.654769,-0.256492,0.072712,-0.003495,0.995934
-0.357415,-0.360615,-0.102646,0.077595,0.002608,1.001549
-0.603569,-0.976,-0.410338,0.05782,-0.016679,1.012536
0.565662,2.008615,-0.502646,0.087605,0.006026,0.988854
1.796431,-0.052923,0.020431,0.08321,-0.012529,0.992516
-1.680492,0.224,-0.164185,0.063923,-0.007157,0.985436
-0.203569,-1.283692,-0.3488,0.107624,-0.009111,0.985924
1.857969,1.208615,-0.071877,0.062214,4.11E-4,1.001061
-2.234339,-0.729846,-0.564185,0.067341,-0.024003,0.991295
-0.203569,0.347077,0.297354,0.064411,-0.016679,0.984948
2.165662,0.593231,-1.210338,0.08321,-0.011796,0.987145
-0.726646,-1.037538,0.697354,0.043659,-0.03328,1.010338
-0.080492,1.393231,-0.533415,0.076374,0.003829,1.006188
-2.234339,-2.299077,-0.256492,0.083698,-0.01204,0.981774
-0.357415,0.131692,-0.379569,0.084431,-0.0262,0.986901
3.734892,2.162462,-0.656492,0.0732,0.001876,0.997399
-0.911262,-1.806769,-0.318031,0.075642,-0.001054,0.992516
-0.111262,-0.052923,0.112738,0.066853,-0.039384,0.981041
-0.203569,1.608615,-0.318031,0.090046,0.017501,0.994713
-1.249723,-2.914462,-0.287262,0.087849,-0.017167,0.993004
0.257969,1.670154,-0.071877,0.07613,-0.025468,0.996911
2.411815,-0.514462,-0.656492,0.100056,-0.005448,0.997399
-0.326646,-0.145231,0.0512,0.059773,-0.012773,0.994469
-0.357415,1.424,-0.471877,0.074421,-0.013017,1.007164
1.242585,-1.160615,-0.441108,0.100056,0.003341,0.987389
-1.311262,-0.052923,-0.041108,0.055134,-0.013993,0.984948
-0.634338,-0.052923,-0.318031,0.079548,-0.014482,0.999108
2.688738,0.654769,-0.964185,0.087849,-0.017167,0.992028
-2.295877,0.562462,0.512738,0.052204,-0.017655,0.991784
-2.1728,-1.191385,-0.287262,0.065876,-0.022538,0.993004
5.0272,0.224,-0.133415,0.10323,-5.66E-4,0.977868
-1.649723,1.424,-0.256492,0.071003,-0.008866,1.004723
-0.511262,-0.852923,-0.194954,0.076374,-0.012773,0.998864
0.965662,1.054769,-0.625723,0.069538,-0.011796,0.982262
-1.003569,-1.622154,0.081969,0.061482,-0.017411,1.000084
0.196431,0.285538,-0.533415,0.085163,-0.008134,0.990807
0.842585,0.254769,-0.102646,0.083943,0.003829,0.979577
-0.511262,-1.006769,0.081969,0.058308,-0.008866,1.008141
-2.357415,-0.760615,-0.3488,0.085163,-0.007402,0.991295
-0.634338,0.377846,-0.133415,0.073933,-0.030839,1.003991
3.0272,1.577846,-0.933415,0.070759,-0.014726,1.001549
1.734892,0.285538,-0.564185,0.06905,0.024093,0.996178
-3.495877,-1.652923,0.912738,0.089558,-0.00789,0.990075
-1.957415,-0.637538,-0.625723,0.065388,-0.006669,1.007409
4.104123,1.239385,-0.410338,0.097614,-0.023759,0.980309
2.319508,2.008615,-0.287262,0.057575,-0.012284,0.990563
-3.003569,-1.499077,0.0512,0.05782,-0.004228,0.988122
0.319508,-0.114462,-0.194954,0.09029,-0.023515,0.987633
2.596431,0.747077,-0.687262,0.072956,-0.017411,0.994957
-0.142031,-0.299077,-0.225723,0.067097,-0.011064,0.986413
-3.095877,-0.760615,0.143508,0.081501,-0.027421,0.994713
2.196431,-0.329846,-0.041108,0.076374,-0.026445,0.997399
2.350277,2.131692,-0.810338,0.075642,0.010177,0.990563
0.750277,-2.206769,-0.3488,0.078327,0.002852,0.99984
-2.111262,1.516308,0.205046,0.065632,-0.003984,1.002526
2.442585,-1.345231,-0.964185,0.095661,-0.005204,0.995202
0.565662,1.147077,-0.194954,0.072468,-0.005937,0.990075
-0.757415,0.254769,0.235815,0.081013,-0.022782,0.985924
3.088738,0.377846,-0.625723,0.06612,-0.012284,0.989586
-1.7728,-0.514462,-0.164185,0.082234,0.010177,0.983483
-1.403569,-0.976,0.112738,0.065144,-0.015214,1.01278
0.965662,0.408615,-0.471877,0.099568,-0.01204,0.989586
1.765662,1.947077,-0.471877,0.063435,-0.002275,0.987145
-2.142031,-0.760615,-0.071877,0.077351,-0.015214,1.006676
0.473354,-0.606769,-0.010338,0.084675,0.00505,1.009118
-0.818954,0.162462,-0.964185,0.084431,-0.009599,1.001305
2.165662,0.100923,-0.164185,0.060505,-0.007646,0.992272
-1.680492,0.593231,-0.3488,0.1003,0.011397,1.015465
1.119508,-0.729846,-0.625723,0.091511,-0.026445,0.986413
0.257969,1.793231,-0.225723,0.04195,-7.7E-5,1.002282
1.796431,-0.576,-0.041108,0.084919,0.008468,1.009118
-1.926646,0.254769,-0.225723,0.073933,-0.029374,0.985192
1.088738,0.654769,-0.318031,0.094196,-0.00496,0.976891
0.719508,-1.191385,-0.502646,0.081013,0.007979,0.99569
0.134892,1.300923,0.020431,0.073933,-0.040849,0.995446
-0.726646,-0.945231,-0.7488,0.075398,-0.009599,0.996666
0.596431,-0.114462,0.081969,0.073689,-0.018144,0.982262
0.534892,0.685538,0.728123,0.092243,-0.021073,0.983239
1.150277,-0.391385,-0.933415,0.062458,-0.002275,1.0057
-1.680492,0.316308,0.266585,0.059529,0.012374,0.993981
-2.788185,-1.252923,0.328123,0.091511,-0.021073,1.001549
2.011815,1.085539,-0.994954,0.063435,0.003585,0.993004
-0.1728,1.116308,0.235815,0.071247,-0.02205,0.997155
0.565662,-0.483692,-0.502646,0.060261,-5.66E-4,0.993981
-2.326646,-0.606769,-0.041108,0.085896,-0.007157,0.995446
-0.388185,0.008615,-0.287262,0.1003,-0.017167,0.977623
4.381046,1.177846,-0.410338,0.068073,-0.003984,0.993004
-1.680492,-0.206769,-0.3488,0.070515,0.013106,1.010827
-2.757415,-1.622154,0.081969,0.078083,-0.031327,0.995202
-0.511262,1.362462,-0.164185,0.060505,-0.01912,0.995934
3.0272,-0.052923,-0.502646,0.076862,0.001632,1.007164
-0.788185,0.439385,-0.071877,0.07613,0.007247,0.990075
-0.388185,-0.022154,-0.3488,0.080036,-0.012529,0.997643
0.750277,0.747077,-0.102646,0.079792,0.007003,0.999596
-0.695877,0.716308,-0.564185,0.086872,-0.025956,0.983971
1.334892,0.408615,-0.379569,0.060261,-0.009355,0.982506
-1.034338,0.224,0.020431,0.088825,-0.01082,0.991539
-0.665108,-1.222154,-0.102646,0.090779,-0.013261,0.99862
1.488738,0.470154,-0.287262,0.064655,-0.028154,0.987877
-0.511262,0.100923,-0.3488,0.091999,0.011153,1.006432
